C,x64
4.968582,1.420095
2.875166,1.382786
2.896914,1.306419
2.874761,1.394244
2.902239,1.408124
2.911535,1.419670
2.992656,1.407813
2.842771,1.430597
2.973270,1.442121
3.091510,1.403893
2.918371,1.396755
2.933079,1.550153
3.160636,1.386228
2.874088,1.348370
2.821120,1.325508
2.886169,1.344271
2.878697,1.383187
2.912753,1.440669
2.809504,1.319508
2.816906,1.322901
2.835814,1.334495
2.825837,1.337664
2.829488,1.383196
2.915744,1.385209
2.928760,1.398264
2.884304,1.380153
2.895188,1.375737
2.927549,1.325841
2.905147,1.383756
2.921610,1.379749
2.902879,1.383154
2.864178,1.357155
2.938154,1.409422
2.936796,1.409408
2.887928,1.373300
2.928175,1.370497
2.962821,1.409925
2.943967,1.386606
2.898655,1.319480
2.912749,1.374305
2.893511,1.394305
2.880011,1.358839
2.868032,1.322756
2.947584,1.428234
2.965294,1.376279
2.898174,1.310262
2.832852,1.327747
3.032477,1.383720
2.982238,1.404707
2.926457,1.383931
2.910751,1.342356
2.901805,1.304769
2.829091,1.309083
2.850362,1.348105
2.885554,1.391622
2.858311,1.351680
2.892132,1.375497
2.861656,1.335908
2.831433,1.338346
2.843384,1.352548
2.851906,1.334919
2.846309,1.351500
2.887444,1.409747
3.016830,1.351186
2.895536,1.412933
2.968430,1.480757
2.955832,1.386796
2.915456,1.360538
2.846248,1.337345
2.842283,1.314883
2.804387,1.353673
2.999106,1.392223
2.964620,1.378132
2.944141,1.350961
2.863648,1.337438
3.006404,1.330459
2.817436,1.313688
2.811384,1.342234
2.802317,1.440954
2.888692,1.382024
2.907285,1.479562
3.013109,1.395334
2.924434,1.395227
2.822548,1.316750
2.819507,1.336224
2.825726,1.331985
2.812687,1.336433
2.875900,1.342555
2.833022,1.350978
2.805018,1.307877
2.811725,1.305228
2.765656,1.269670
2.778406,1.329361
2.860073,1.419136
2.919811,1.437650
2.938188,1.351826
2.854182,1.361950
2.836459,1.351971
2.887512,1.403230
2.842843,1.301702
