------------------------------
|    Elapsed time in all runs|
------------------------------
|Run #|          C|       x64|
------------------------------
|0    |   2.561567|  2.561567|
|1    |   2.466901|  2.466901|
|2    |   2.443652|  2.443652|
|3    |   2.436512|  2.436512|
|4    |   2.554163|  2.554163|
|5    |   2.703517|  2.703517|
|6    |   2.515223|  2.515223|
|7    |   2.577983|  2.577983|
|8    |   2.492614|  2.492614|
|9    |   2.543265|  2.543265|
|10   |   2.452831|  2.452831|
|11   |   2.500973|  2.500973|
|12   |   2.490047|  2.490047|
|13   |   2.713130|  2.713130|
|14   |   2.515874|  2.515874|
|15   |   2.497427|  2.497427|
|16   |   2.500184|  2.500184|
|17   |   2.534097|  2.534097|
|18   |   2.546681|  2.546681|
|19   |   2.535411|  2.535411|
|20   |   2.564876|  2.564876|
|21   |   2.535810|  2.535810|
|22   |   2.614580|  2.614580|
|23   |   2.621639|  2.621639|
|24   |   2.621851|  2.621851|
|25   |   2.522388|  2.522388|
|26   |   2.498907|  2.498907|
|27   |   2.475284|  2.475284|
|28   |   2.478281|  2.478281|
|29   |   2.540627|  2.540627|
|30   |   2.528776|  2.528776|
|31   |   2.597197|  2.597197|
|32   |   2.529993|  2.529993|
|33   |   2.521497|  2.521497|
|34   |   2.605222|  2.605222|
|35   |   2.555181|  2.555181|
|36   |   2.598877|  2.598877|
|37   |   2.537770|  2.537770|
|38   |   2.542191|  2.542191|
|39   |   2.584915|  2.584915|
|40   |   2.563174|  2.563174|
|41   |   2.549116|  2.549116|
|42   |   2.540733|  2.540733|
|43   |   2.513173|  2.513173|
|44   |   2.560227|  2.560227|
|45   |   2.543340|  2.543340|
|46   |   2.537674|  2.537674|
|47   |   2.667684|  2.667684|
|48   |   2.546750|  2.546750|
|49   |   2.558510|  2.558510|
|50   |   2.508148|  2.508148|
|51   |   2.596205|  2.596205|
|52   |   2.524015|  2.524015|
|53   |   2.497367|  2.497367|
|54   |   2.587001|  2.587001|
|55   |   2.629764|  2.629764|
|56   |   2.515310|  2.515310|
|57   |   2.555949|  2.555949|
|58   |   2.549543|  2.549543|
|59   |   2.561390|  2.561390|
|60   |   2.497690|  2.497690|
|61   |   2.541338|  2.541338|
|62   |   2.495503|  2.495503|
|63   |   2.505173|  2.505173|
|64   |   2.543061|  2.543061|
|65   |   2.580002|  2.580002|
|66   |   2.647224|  2.647224|
|67   |   2.502974|  2.502974|
|68   |   2.564856|  2.564856|
|69   |   2.558296|  2.558296|
|70   |   2.586995|  2.586995|
|71   |   2.561835|  2.561835|
|72   |   2.569504|  2.569504|
|73   |   2.552024|  2.552024|
|74   |   2.957428|  2.957428|
|75   |   2.536417|  2.536417|
|76   |   2.489728|  2.489728|
|77   |   2.719266|  2.719266|
|78   |   2.609512|  2.609512|
|79   |   2.491579|  2.491579|
|80   |   2.478905|  2.478905|
|81   |   2.471423|  2.471423|
|82   |   2.499758|  2.499758|
|83   |   2.509207|  2.509207|
|84   |   2.611316|  2.611316|
|85   |   2.547475|  2.547475|
|86   |   2.527995|  2.527995|
|87   |   2.582816|  2.582816|
|88   |   2.494582|  2.494582|
|89   |   2.541575|  2.541575|
|90   |   2.556590|  2.556590|
|91   |   2.512427|  2.512427|
|92   |   2.548553|  2.548553|
|93   |   2.620407|  2.620407|
|94   |   2.537600|  2.537600|
|95   |   2.463369|  2.463369|
|96   |   2.460696|  2.460696|
|97   |   2.458095|  2.458095|
|98   |   2.459848|  2.459848|
|99   |   2.498772|  2.498772|
------------------------------


Average time elapsed of C implementation:
        2.546548ms
Average time elapsed of x64 implementation:
        1.185597ms
