C,x64
10.218000,1.417000
3.092000,1.516000
3.378000,1.531000
3.038000,1.475000
2.984000,1.554000
2.914000,1.310000
2.969000,1.307000
2.875000,1.270000
2.901000,1.484000
3.148000,1.373000
3.156000,1.384000
2.980000,1.474000
3.284000,1.324000
2.852000,1.427000
3.060000,1.399000
2.881000,1.485000
3.155000,1.334000
3.227000,1.292000
3.035000,1.353000
3.243000,1.397000
2.982000,1.370000
3.026000,1.537000
3.332000,1.494000
3.227000,1.639000
3.237000,1.444000
3.117000,1.527000
3.177000,1.391000
3.065000,1.374000
2.908000,1.438000
3.403000,1.614000
3.174000,1.440000
3.355000,1.395000
3.212000,1.486000
3.035000,1.440000
3.339000,1.635000
3.057000,1.402000
3.033000,1.350000
3.035000,1.446000
3.188000,1.400000
3.040000,1.446000
3.167000,1.442000
3.162000,1.560000
2.984000,1.307000
2.997000,1.364000
2.901000,1.333000
2.913000,1.325000
2.946000,1.371000
2.943000,1.366000
3.072000,1.352000
2.988000,1.393000
2.952000,1.280000
3.011000,1.504000
3.128000,1.629000
3.201000,1.314000
3.127000,1.340000
2.942000,1.359000
3.207000,1.348000
2.955000,1.343000
3.004000,1.471000
3.021000,1.377000
3.014000,1.496000
3.100000,1.296000
2.997000,1.335000
2.949000,1.301000
2.974000,1.385000
3.014000,1.336000
2.998000,1.460000
3.058000,1.355000
2.865000,1.361000
3.125000,1.333000
2.833000,1.360000
2.943000,1.337000
2.915000,1.342000
2.976000,1.306000
2.896000,1.343000
2.997000,1.343000
3.424000,1.446000
2.925000,1.744000
3.207000,1.403000
3.183000,1.462000
3.520000,1.352000
3.114000,1.478000
3.136000,1.451000
3.238000,1.553000
3.132000,1.405000
2.985000,1.460000
2.940000,1.326000
2.954000,1.354000
2.804000,1.298000
2.924000,1.399000
2.953000,1.371000
2.916000,1.346000
2.943000,1.340000
2.929000,1.404000
2.859000,1.340000
2.928000,1.320000
2.815000,1.349000
2.912000,1.358000
2.870000,1.510000
2.937000,1.349000
