C,x64
0.306000,0.142000
0.308000,0.140000
0.304000,0.140000
0.318000,0.142000
0.306000,0.143000
0.304000,0.142000
0.305000,0.141000
0.304000,0.139000
0.306000,0.143000
0.303000,0.141000
0.304000,0.141000
0.306000,0.143000
0.302000,0.142000
0.305000,0.139000
0.306000,0.143000
0.302000,0.144000
0.305000,0.141000
0.306000,0.141000
0.307000,0.144000
0.304000,0.142000
0.304000,0.140000
0.306000,0.142000
0.307000,0.144000
0.306000,0.145000
0.301000,0.145000
0.303000,0.158000
0.310000,0.145000
0.308000,0.141000
0.307000,0.145000
0.304000,0.143000
0.307000,0.142000
0.309000,0.140000
0.307000,0.146000
0.309000,0.144000
0.310000,0.146000
0.385000,0.156000
0.317000,0.146000
0.312000,0.143000
0.316000,0.141000
0.309000,0.163000
0.322000,0.145000
0.312000,0.145000
0.308000,0.144000
0.305000,0.141000
0.310000,0.146000
0.307000,0.142000
0.310000,0.141000
0.306000,0.151000
0.327000,0.144000
0.305000,0.142000
0.311000,0.142000
0.306000,0.141000
0.304000,0.142000
0.309000,0.145000
0.305000,0.143000
0.309000,0.143000
0.307000,0.139000
0.305000,0.143000
0.310000,0.146000
0.304000,0.141000
0.308000,0.142000
0.307000,0.143000
0.307000,0.141000
0.306000,0.142000
0.304000,0.143000
0.305000,0.141000
0.308000,0.141000
0.307000,0.142000
0.305000,0.143000
0.303000,0.142000
0.311000,0.155000
0.308000,0.145000
0.306000,0.143000
0.305000,0.144000
0.305000,0.141000
0.303000,0.144000
0.308000,0.142000
0.304000,0.139000
0.306000,0.147000
0.302000,0.144000
0.307000,0.142000
0.307000,0.142000
0.304000,0.143000
0.310000,0.140000
0.306000,0.143000
0.306000,0.144000
0.302000,0.141000
0.304000,0.144000
0.305000,0.141000
0.305000,0.145000
0.305000,0.142000
0.301000,0.142000
0.306000,0.146000
0.312000,0.140000
0.307000,0.140000
0.306000,0.142000
0.306000,0.146000
0.311000,0.142000
0.305000,0.143000
0.304000,0.147000
