C,x64
0.304000,0.179000
0.305000,0.142000
0.303000,0.140000
0.306000,0.141000
0.307000,0.154000
0.306000,0.144000
0.313000,0.194000
0.310000,0.145000
0.316000,0.141000
0.304000,0.141000
0.306000,0.142000
0.304000,0.161000
0.323000,0.143000
0.307000,0.142000
0.303000,0.143000
0.307000,0.142000
0.305000,0.139000
0.308000,0.144000
0.306000,0.141000
0.305000,0.148000
0.304000,0.141000
0.304000,0.141000
0.306000,0.140000
0.313000,0.142000
0.311000,0.141000
0.309000,0.142000
0.307000,0.171000
0.325000,0.183000
0.369000,0.161000
0.305000,0.145000
0.310000,0.232000
0.311000,0.144000
0.303000,0.141000
0.308000,0.140000
0.337000,0.142000
0.307000,0.140000
0.315000,0.155000
0.366000,0.143000
0.306000,0.142000
0.305000,0.144000
0.309000,0.144000
0.307000,0.155000
0.331000,0.143000
0.311000,0.147000
0.312000,0.186000
0.357000,0.144000
0.304000,0.146000
0.311000,0.178000
0.307000,0.140000
0.306000,0.159000
0.335000,0.142000
0.306000,0.141000
0.306000,0.140000
0.334000,0.154000
0.303000,0.142000
0.304000,0.150000
0.303000,0.144000
0.308000,0.140000
0.304000,0.140000
0.304000,0.141000
0.303000,0.146000
0.337000,0.148000
0.307000,0.276000
0.308000,0.148000
0.303000,0.141000
0.310000,0.148000
0.314000,0.146000
0.304000,0.143000
0.333000,0.193000
0.334000,0.142000
0.303000,0.142000
0.302000,0.147000
0.354000,0.153000
0.303000,0.169000
0.329000,0.144000
0.303000,0.141000
0.304000,0.146000
0.303000,0.140000
0.303000,0.141000
0.303000,0.141000
0.304000,0.143000
0.303000,0.141000
0.305000,0.142000
0.306000,0.141000
0.303000,0.140000
0.302000,0.144000
0.303000,0.142000
0.305000,0.147000
0.308000,0.160000
0.305000,0.141000
0.303000,0.141000
0.303000,0.141000
0.306000,0.143000
0.303000,0.140000
0.307000,0.146000
0.303000,0.140000
0.306000,0.141000
0.305000,0.140000
0.303000,0.139000
0.305000,0.144000
